ccn,validthru,key,pin,quota
3608-1192-5890-1686,Nov/2023,2610,180,1800
3608-1395-4264-1900,Oct/2022,5103,354,1500
3608-2800-5038-1705,Aug/2018,6439,352,1800
3608-1333-5489-1931,Aug/2024,6623,411,1900
3608-2968-4394-1245,Feb/2025,5682,367,1300
3608-2588-4394-1744,Sep/2025,4806,070,1700
3608-1333-5030-1686,Jan/2023,5485,803,1200
3608-2800-4856-1053,Feb/2022,3300,585,1000
3608-1333-5745-1804,Sep/2022,2243,534,1600
3608-2507-4994-1009,May/2018,5096,068,1200
3608-2181-5152-1306,Jul/2019,5909,522,1000
3608-1721-4342-1821,Aug/2024,2291,630,2000
3608-1782-5038-1983,Nov/2024,5643,534,1100
3608-1682-5983-1475,Apr/2020,3268,338,1500
3608-1782-4523-1344,Jan/2023,7496,894,1700
3608-1333-5766-1440,Feb/2022,4682,267,1100
3608-1395-4038-1217,Sep/2024,7908,927,1900
3608-2800-4342-1476,Mar/2021,6771,459,1400
3608-1333-4994-1558,Sep/2022,7786,132,1000
3608-1782-4005-1705,Mar/2022,6359,218,1700
3608-2800-4160-1306,May/2024,6002,160,1000
3608-2968-4458-1037,Feb/2018,6184,369,1600
3608-2588-5724-1344,Sep/2024,3284,626,1000
3608-1682-5691-1428,Jun/2024,6884,141,2000
3608-2181-5132-1613,Sep/2018,7507,206,2000
3608-2751-5983-1744,May/2024,2167,247,2000
3608-2181-5015-1745,Jan/2019,3612,315,1000
3608-1721-5632-1980,Sep/2019,3335,696,1300
3608-1192-5791-1916,Aug/2019,6726,082,1800
3608-2968-4668-1292,Mar/2023,5725,912,1500
3608-2507-5890-1381,Oct/2021,3952,564,1700
3608-1333-4318-1055,Dec/2021,7735,828,1200
3608-2181-4236-1214,Jan/2022,4023,135,1200
3608-2596-5632-1794,Sep/2020,3427,135,1500
3608-1721-4288-1623,Dec/2020,6941,771,1100
3608-2968-4951-1705,Apr/2025,7072,096,1900
3608-2588-5551-1718,Sep/2022,3974,874,2000
3608-1782-4523-1837,May/2024,2427,234,2000
3608-2751-5489-1255,Oct/2021,2954,536,1200
3608-1682-5551-1056,Nov/2020,2264,679,1000
3608-1721-5724-1916,Sep/2020,5999,159,1300
3608-1682-4445-1900,Oct/2020,6942,938,1500
3608-2181-4394-1686,Jun/2020,5922,020,1500
3608-2751-5884-1660,Dec/2024,7761,884,1300
3608-2968-5890-1435,Feb/2021,6178,825,1400
3608-2751-5884-1157,Sep/2024,7941,293,1600
3608-1721-5152-1631,Mar/2019,6416,479,1000
3608-2968-5632-1839,Jan/2025,5282,503,2000
3608-2507-5638-1428,Sep/2022,4466,562,2000
3608-2800-5745-1188,Aug/2021,3260,964,1400
3608-1395-5983-1795,May/2019,2598,125,1500
3608-2181-5756-1024,Feb/2021,7855,137,1900
3608-2588-5459-1821,Jan/2022,5994,778,1200
3608-2507-5634-1157,Jan/2018,1990,571,1300
3608-2588-4160-1052,Sep/2020,2485,937,1700
3608-2181-4264-1109,Jan/2020,5070,336,2000
3608-1721-4329-1613,May/2019,7924,356,1500
3608-1333-5632-1744,Mar/2025,2178,298,1400
3608-2968-4160-1583,Jul/2025,4753,275,1900
3608-1395-5988-1214,Dec/2023,5733,624,1700
3608-1192-5632-1128,Mar/2020,3844,470,1400
3608-2067-5634-1024,Aug/2025,7077,605,1000
3608-2751-5890-1465,Jun/2019,7365,448,1000
3608-1192-4354-1623,Dec/2025,7275,153,1800
3608-2588-5750-1244,Apr/2018,2334,049,1400
3608-2800-5983-1603,Jun/2018,6639,491,1700
3608-2968-5756-1617,Oct/2021,4110,198,1600
3608-2067-4158-1596,Mar/2019,4687,985,1200
3608-2800-4160-1220,Sep/2025,3685,697,1500
3608-1721-4288-1804,Apr/2019,6133,696,1500
3608-1721-5756-1518,Dec/2024,4232,777,1100
3608-1782-5489-1821,Mar/2024,2973,417,1500
3608-2181-4342-1976,Mar/2019,3579,479,1000
3608-2751-4038-1693,Feb/2021,4673,532,1900
3608-1682-4458-1134,Aug/2023,3897,592,1000
3608-1333-4318-1465,Sep/2018,2608,708,1500
3608-2588-4668-1217,Apr/2025,3967,084,1500
3608-2800-5634-1194,Oct/2024,4521,791,1200
3608-2588-4288-1983,Jun/2025,2260,787,1400
3608-2751-5766-1355,Jun/2020,4873,515,1900
3608-2588-5745-1593,Mar/2019,5150,110,1200
3608-2751-4458-1583,Dec/2020,4017,829,1000
3608-2751-5691-1968,Feb/2019,6087,644,1900
3608-1395-5750-1900,Mar/2018,4620,418,1000
3608-2596-5638-1668,Nov/2024,3118,798,1300
3608-2181-5634-1597,Mar/2021,6444,995,1300
3608-2968-5489-1140,Mar/2019,3945,336,1800
3608-2588-4264-1839,Feb/2020,4718,548,1700
3608-2588-5791-1188,May/2019,7528,652,1300
3608-1395-5132-1623,Oct/2021,2581,479,1800
3608-2181-4856-1537,Dec/2023,3775,575,1300
3608-1682-5791-1377,Mar/2023,6960,930,1900
3608-1782-4160-1629,Jun/2021,4318,734,1900
3608-1682-4994-1744,Dec/2018,4592,671,2000
3608-2588-5458-1623,Jan/2022,6873,430,2000
3608-1395-5766-1198,Apr/2018,7836,476,1200
3608-1682-4523-1637,Jan/2018,3083,321,1700
3608-2588-5030-1009,Aug/2020,2096,696,1200
3608-1682-5691-1916,Mar/2024,7720,245,1400
3608-2067-5458-1361,Feb/2025,4482,069,1000
3608-2507-5489-1014,May/2023,7138,597,1500
3608-1192-4523-1518,Feb/2020,4740,849,2000
3608-2507-5724-1915,Dec/2025,7069,458,1200
3608-2507-4264-1637,Oct/2019,6045,126,1400
3608-2800-5333-1821,Jan/2025,3183,426,1000
3608-1333-5152-1301,Jun/2020,7070,864,1200
3608-2181-5983-1821,Dec/2021,5375,586,1500
3608-2800-4329-1188,May/2025,6341,034,1500
3608-1782-5551-1032,Apr/2024,7840,017,1700
3608-1682-4354-1794,Sep/2020,5095,720,1800
3608-2751-5196-1474,Jan/2019,4094,686,1500
3608-1782-5489-1629,Apr/2018,5092,386,1700
3608-1682-4236-1344,Oct/2023,4566,797,1300
3608-2800-4994-1053,Jan/2024,3223,826,1100
3608-2968-5394-1181,Jun/2021,3875,444,1700
3608-2067-4158-1278,Aug/2025,7820,149,2000
3608-2067-5394-1983,Oct/2023,3356,208,1100
3608-1682-4711-1960,Jan/2022,4109,629,1700
3608-1721-5750-1394,Feb/2022,4822,551,1900
3608-2968-5551-1182,Mar/2022,3558,077,1200
3608-2968-5394-1157,May/2018,7352,184,1200
3608-2800-4657-1278,Jul/2025,4595,305,2000
3608-1333-4668-1856,Jan/2019,7348,305,1600
3608-1192-5638-1344,Jun/2019,4250,489,1600
3608-2067-5407-1983,Feb/2022,6285,222,1200
3608-2507-5756-1274,May/2022,7030,697,1500
3608-1192-5983-1936,Aug/2024,3204,587,1700
3608-1682-4236-1220,Jan/2018,2339,584,2000
3608-1333-5884-1518,Jul/2020,7439,814,1000
3608-2968-5696-1361,Sep/2021,4663,561,1200
3608-1395-5196-1572,Jan/2022,6182,548,2000
3608-1395-4445-1134,Nov/2020,5921,208,1100
3608-1782-4445-1795,Apr/2025,2127,420,1700
3608-1682-4711-1189,Oct/2025,2665,214,1300
3608-2968-4445-1278,Oct/2023,7187,278,1100
3608-1782-4344-1821,Feb/2019,7636,542,1800
3608-2800-5038-1589,Apr/2025,4839,067,1600
3608-1192-4994-1190,Dec/2023,4153,068,1900
3608-2181-5638-1024,Sep/2019,5443,257,1200
3608-1395-5791-1355,Oct/2025,6019,569,1400
3608-2968-5983-1024,May/2018,5078,387,1700
3608-2800-5988-1705,Feb/2019,2416,798,1000
3608-2751-5750-1163,Oct/2022,4450,877,1600
3608-1395-5551-1915,Jun/2023,7192,107,1500
3608-1721-5015-1198,Feb/2019,2334,270,1700
3608-1333-4354-1637,Apr/2021,2355,938,2000
3608-1192-5634-1976,Nov/2022,6478,038,1700
3608-2596-5756-1198,Mar/2024,3788,807,1500
3608-1333-5988-1265,May/2020,5010,596,1200
3608-1192-5791-1064,Apr/2021,5214,953,1400
3608-2968-5724-1717,May/2025,3351,323,1700
3608-2968-5470-1053,Jun/2018,5809,243,1400
3608-1682-4160-1140,Aug/2019,3277,077,1900
3608-2596-5634-1613,Nov/2023,2084,897,1700
3608-1192-4994-1255,Feb/2019,5570,820,1500
3608-2507-5152-1518,Apr/2018,3212,122,2000
3608-1682-4354-1983,Aug/2021,7054,608,1400
3608-1721-4005-1037,Jun/2018,4599,741,1400
3608-2507-5724-1428,May/2023,7365,820,1000
3608-2596-5983-1322,Dec/2025,5885,381,2000
3608-2968-5632-1134,Sep/2022,6515,717,1600
3608-2596-5638-1838,Mar/2024,5456,865,1900
3608-2800-4458-1518,Sep/2020,4381,935,1300
3608-1682-5470-1968,Feb/2019,4246,828,1400
3608-2588-5407-1518,Jan/2020,6254,378,1300
3608-2067-5470-1129,Nov/2018,6503,374,1600
3608-2751-5132-1157,Sep/2021,7658,258,1400
3608-1333-4318-1163,Dec/2022,4111,476,1800
3608-2800-5756-1032,Mar/2019,6964,846,1100
3608-1192-4458-1394,Jul/2023,4040,531,2000
3608-2181-5458-1497,Apr/2023,3249,053,1300
3608-1192-5983-1129,Aug/2019,3872,138,1600
3608-2968-5030-1442,Jan/2019,8042,778,1500
3608-2800-4458-1032,May/2022,6861,463,1800
3608-1333-5015-1216,Jul/2021,5541,044,1100
3608-1192-5015-1631,Oct/2021,7333,326,1000
3608-2596-5750-1761,Feb/2018,5337,041,1100
3608-2800-4668-1960,Dec/2024,4176,850,1000
3608-1192-4005-1274,Jul/2025,3463,426,1200
3608-1682-5983-1931,May/2022,8000,576,1800
3608-2507-5196-1828,Jun/2022,7573,816,1200
3608-1782-5551-1064,Mar/2018,4452,820,2000
3608-1682-4994-1960,Dec/2024,5323,645,1100
3608-2968-5459-1915,Feb/2022,5251,730,1000
3608-2596-5551-1064,Mar/2024,5893,181,1500
3608-1782-5394-1673,Mar/2018,4483,197,1200
3608-2507-4288-1603,Aug/2018,5987,490,1200
3608-2507-5407-1198,Apr/2019,4508,660,1100
3608-1721-4288-1407,Mar/2022,8006,198,1600
3608-2067-5030-1597,Jul/2024,3661,403,1700
3608-1682-4383-1795,Feb/2018,4340,638,1800
3608-1682-5632-1668,Nov/2022,6309,844,1600
3608-1395-5394-1128,Mar/2022,2745,251,1500
3608-2067-5394-1053,Dec/2022,2593,077,1600
3608-2588-4711-1497,Jun/2022,5786,704,2000
3608-1333-5470-1130,Nov/2018,5347,485,1100
3608-1333-4264-1856,May/2019,4206,135,1300
3608-2588-5551-1589,Mar/2019,2307,879,1600
3608-2596-4329-1428,Feb/2025,2731,050,1800
3608-1395-5890-1094,Feb/2019,3232,473,2000
3608-2181-5756-1838,Aug/2021,4205,907,1100
3608-1721-4354-1551,May/2020,4287,820,1800
3608-2067-4344-1128,Jul/2023,7065,021,1000
3608-2588-5983-1551,Dec/2022,4683,962,2000
3608-2800-5632-1121,Oct/2023,3314,485,1700
3608-2507-5458-1980,Aug/2020,2237,394,1100
3608-2800-5983-1693,Jun/2020,6705,972,1100
3608-2800-4038-1637,Apr/2021,3828,756,1000
3608-1682-5333-1828,Sep/2025,2862,039,1700
3608-1333-5196-1355,Jan/2018,3753,147,1700
3608-1333-5030-1194,May/2020,5002,916,1500
3608-1333-4994-1140,Mar/2025,5132,544,1400
3608-2800-5394-1394,Jul/2019,2624,374,1200
3608-1192-4383-1055,May/2023,4333,414,1800
3608-1782-5470-1518,Jul/2022,3055,382,1100
3608-2588-4383-1278,Feb/2023,4239,165,1300
3608-2181-4580-1130,Nov/2018,7593,342,1300
3608-2596-5745-1915,Feb/2018,2664,072,1900
3608-1782-4668-1844,Jul/2022,4386,580,1000
3608-2751-4711-1140,Oct/2022,4510,160,2000
3608-1721-4580-1583,Apr/2024,2871,472,1700
3608-1721-4394-1306,Mar/2021,3284,715,1000
3608-2800-5458-1442,Apr/2025,8007,242,1900
3608-1682-4668-1255,Jan/2018,5364,355,1900
3608-1682-5196-1014,Aug/2021,7373,393,1600
3608-2751-5634-1614,Apr/2018,6115,853,1200
3608-2588-4354-1244,Oct/2018,5776,868,1200
3608-2800-5766-1032,Apr/2022,4640,055,1700
3608-2751-4038-1064,Jul/2021,3720,542,1600
3608-1333-5766-1428,Jan/2024,1968,181,1200
3608-1395-5632-1014,Sep/2020,7142,199,1400
3608-2067-4005-1032,Nov/2019,4775,098,2000
3608-2751-5634-1474,Apr/2025,6735,682,1300
3608-1682-4354-1189,Jul/2023,7799,934,1100
3608-2800-5634-1128,Oct/2024,5115,205,1600
3608-1682-4458-1129,Jul/2018,7424,668,1700
3608-2751-4994-1217,Jun/2018,7901,670,1300
3608-2181-4394-1583,May/2019,2952,048,1200
3608-1721-4580-1718,Jun/2020,6545,770,1100
3608-1682-4329-1344,May/2021,5367,174,1700
3608-2507-4994-1596,Sep/2023,5368,196,1100
3608-2968-5132-1596,Jul/2024,5860,258,1000
3608-2800-4657-1558,Oct/2025,4894,334,1000
3608-2507-5766-1686,Nov/2020,3340,370,1000
3608-2507-4711-1844,Jan/2023,2314,124,1100
3608-2181-4580-1596,Apr/2018,4111,811,1400
3608-1395-5634-1440,Mar/2025,5426,498,1500
3608-1395-5890-1465,Aug/2021,5927,619,1400
3608-1192-5756-1828,Jan/2020,7413,938,1100
3608-2800-5638-1121,Jul/2021,5229,899,1200
3608-1395-5407-1497,Feb/2023,7354,375,1100
3608-1395-5458-1220,Jul/2023,3957,973,2000
3608-2596-5132-1134,Dec/2025,3647,062,1900
3608-2588-4344-1476,Feb/2018,4352,837,1700
3608-2067-4458-1915,May/2022,4337,415,1700
3608-2067-5791-1837,Feb/2025,5047,987,1200
3608-1721-5459-1278,Aug/2019,2626,188,1200
3608-2596-5634-1968,Dec/2024,3571,289,1900
3608-2507-4445-1717,Oct/2020,2459,630,1600
3608-2507-5489-1182,Jan/2024,3568,071,1100
3608-2181-5407-1839,Aug/2022,2851,457,1300
3608-1333-5696-1935,Dec/2020,3735,574,1900
3608-1395-5890-1128,Dec/2022,5755,834,1100
3608-2751-4318-1037,Aug/2018,2254,687,1700
3608-1395-5459-1244,Feb/2021,5190,547,2000
3608-2588-4711-1428,Nov/2019,4837,880,1800
3608-2067-5983-1355,Oct/2018,2687,056,1400
3608-2507-5470-1140,Aug/2020,6732,891,1800
3608-2968-4394-1589,Mar/2025,7969,669,1500
3608-1192-4445-1717,Jun/2025,2944,847,1900
3608-1782-5890-1465,Aug/2022,3186,048,1300
3608-2181-4383-1292,Mar/2021,2476,772,1600
3608-2968-4160-1617,Sep/2018,1988,504,1200
3608-2067-5152-1631,Aug/2024,4614,364,1800
3608-1682-4329-1181,May/2023,3764,883,2000
3608-2751-5015-1109,Aug/2019,5493,831,1300
3608-2181-4458-1185,Jun/2024,5823,193,1000
3608-2751-5791-1828,Apr/2022,4395,253,1500
3608-1782-5394-1558,Feb/2025,4849,861,1000
3608-2588-5038-1032,Feb/2020,4052,303,1800
3608-1782-4160-1274,Jul/2021,6658,383,1400
3608-2751-4951-1838,May/2022,7450,329,1100
3608-1395-5696-1474,Dec/2020,2797,880,1400
3608-1682-4445-1351,Aug/2024,7929,020,1700
3608-1192-5691-1475,Dec/2025,6761,613,1400
3608-2596-4236-1718,Sep/2023,2606,121,1700
3608-1192-5983-1245,Jun/2018,7488,938,1900
3608-1395-5038-1407,Dec/2018,4438,320,1700
3608-2596-5745-1838,Mar/2022,2613,068,2000
3608-1721-5691-1194,Nov/2025,2021,699,1800
3608-1192-5638-1383,Nov/2018,3881,922,1300
3608-1192-5196-1931,May/2020,6134,381,1800
3608-1682-4523-1052,May/2020,7246,859,1700
3608-2067-4383-1265,Dec/2024,4611,734,1800
3608-1395-4158-1717,Mar/2021,7476,117,1700
3608-2067-4951-1844,Jan/2025,7256,929,1400
3608-2596-5458-1631,Sep/2018,4333,257,1500
3608-2968-4951-1037,May/2018,2610,924,1400
3608-2751-5724-1960,May/2019,2831,969,1400
3608-1395-5030-1583,Jul/2018,7155,313,1500
3608-2596-4951-1838,Apr/2021,5509,152,1100
3608-1782-4458-1300,Apr/2021,2699,143,1900
3608-2507-4383-1673,Jun/2022,3719,762,1500
3608-2968-4354-1383,Jul/2021,5607,345,1400
3608-1395-4160-1300,Feb/2020,5044,835,1800
3608-1333-5394-1435,Dec/2022,6619,732,1400
3608-1721-5394-1014,Sep/2019,3982,505,1600
3608-2596-4005-1673,Apr/2018,6892,866,1800
3608-2181-5038-1892,Mar/2018,2608,863,1100
3608-2181-4523-1278,Sep/2021,3514,146,1100
3608-2596-5638-1718,May/2024,3784,717,1200
3608-1782-5884-1428,Sep/2023,2614,006,1800
3608-1782-5038-1038,Dec/2019,5172,496,1500
3608-2588-5766-1157,Jan/2025,7966,123,1900
3608-2588-4318-1936,Sep/2022,3829,933,1500
3608-1682-5791-1916,Mar/2019,3802,706,1800
3608-2507-4523-1603,Sep/2025,5571,018,1000
3608-1192-5038-1190,Aug/2020,5154,003,1500
3608-2588-5766-1976,Jan/2022,3544,182,1400
3608-1682-4329-1705,Nov/2022,6252,417,1200
3608-1682-4329-1583,Sep/2018,7264,624,1500
3608-2067-5333-1001,Oct/2020,6626,582,2000
3608-2067-5152-1194,Oct/2021,6187,099,2000
3608-2968-5988-1053,May/2022,5036,893,2000
3608-2067-4523-1054,May/2025,7459,753,1800
3608-1333-5152-1188,Oct/2018,6103,653,1100
3608-1721-4580-1518,Dec/2018,6694,621,1000
3608-1333-4344-1980,Jun/2024,7363,833,1000
3608-2588-4329-1157,Feb/2024,4591,572,1700
3608-1782-4354-1440,Jun/2023,3935,352,1000
3608-1721-5333-1794,Aug/2018,3718,974,1100
3608-1721-5884-1682,May/2018,7846,603,1800
3608-2067-4329-1157,Dec/2020,8027,817,1700
3608-1721-4264-1054,May/2024,5978,113,1100
3608-2800-5638-1157,Jan/2019,4789,732,1800
3608-2507-4458-1744,Jun/2025,3017,515,1800
3608-2800-5196-1597,Nov/2022,5975,367,1600
3608-1333-4354-1190,May/2021,6201,125,1700
3608-1333-5691-1980,Aug/2021,3669,222,1400
3608-1395-5724-1214,Feb/2024,3842,664,1800
3608-2968-4668-1344,Jun/2019,6504,431,1000
3608-2968-4394-1475,Aug/2023,6256,708,1700
3608-1682-5015-1838,May/2024,5211,288,1300
3608-2968-5766-1614,Jan/2021,2547,881,1500
3608-2751-4523-1646,Mar/2023,5853,137,1500
3608-2968-5988-1377,Jun/2021,5224,728,1300
3608-2800-5551-1157,Jan/2023,1983,987,1800
3608-2968-5015-1361,Jun/2025,7462,378,1100
3608-2067-5470-1821,Feb/2025,2731,272,1600
3608-1721-5551-1038,Jan/2022,5256,568,1200
3608-2968-5030-1474,Jun/2020,3027,283,1700
3608-1395-4523-1603,Jun/2024,6506,164,1900
3608-2588-5988-1194,Jul/2023,7029,135,1600
3608-1682-5884-1613,Dec/2023,6700,258,1900
3608-1721-5407-1194,Oct/2023,4188,092,1700
3608-1782-5333-1558,Apr/2019,3077,474,1000
3608-1682-4657-1094,Dec/2021,7401,943,1200
3608-2751-5407-1214,Feb/2025,7731,264,1800
3608-1682-4158-1052,Jun/2020,6087,051,1800
3608-2067-5394-1198,Oct/2021,5589,508,1700
3608-2181-5196-1245,Dec/2024,3038,981,1600
3608-2067-5632-1558,Jul/2024,8039,772,1500
3608-2751-4711-1589,Feb/2022,7640,433,1300
3608-2596-5551-1474,Nov/2018,6937,035,2000
3608-2507-5724-1976,Oct/2025,6982,287,1400
3608-1682-5152-1024,Feb/2022,5124,744,1500
3608-2751-4264-1109,Mar/2021,4624,805,1000
3608-1782-5407-1976,Apr/2024,4377,886,1900
3608-1395-5015-1900,Aug/2022,3627,599,1800
3608-2067-4342-1361,Nov/2025,4262,430,1500
3608-2968-5030-1589,Apr/2020,6665,050,1000
3608-2507-5489-1181,Dec/2022,2788,482,1000
3608-2751-4994-1306,Oct/2018,4852,489,1500
3608-1395-5030-1589,Dec/2024,6363,293,1500
3608-2751-4711-1109,Feb/2020,6942,293,1000
3608-1192-4344-1194,Apr/2025,4878,859,1400
3608-2507-5489-1274,Apr/2022,3710,736,1600
3608-2067-5132-1064,Aug/2018,7313,074,1100
3608-2507-5394-1629,Aug/2024,5154,522,1400
3608-1682-5038-1761,Feb/2018,7386,767,1200
3608-2507-5407-1024,Jan/2019,7429,972,1500
3608-1721-4458-1130,Jan/2020,4657,090,1700
3608-2968-5691-1121,Jun/2022,2596,185,1800
3608-2800-4264-1052,Oct/2025,5713,222,1200
3608-1192-4951-1474,Nov/2024,8018,877,1100
3608-2181-4394-1278,Jan/2021,2853,601,1100
3608-1192-5638-1668,Apr/2021,6713,833,1900
3608-2968-4288-1216,Sep/2021,6503,550,1800
3608-1721-5884-1980,Sep/2018,5073,889,1400
3608-1333-5632-1129,Jan/2022,7745,182,1600
3608-1782-5038-1056,Sep/2023,6953,824,1800
3608-2596-5489-1001,Sep/2022,6771,066,1600
3608-2507-5724-1613,Dec/2023,6053,535,1100
3608-2751-4158-1475,Apr/2022,4218,729,1100
3608-2596-5458-1718,Aug/2023,7155,974,1100
3608-2596-4523-1475,Jul/2021,5884,143,1600
3608-2181-5988-1054,Aug/2020,5566,738,2000
3608-1721-4394-1583,Jul/2025,3708,006,1100
3608-2507-4657-1631,Jun/2020,7625,633,1000
3608-1682-5152-1673,Aug/2020,6808,736,1400
3608-1682-5489-1960,May/2022,5545,618,1300
3608-2588-5458-1428,Jan/2022,5642,239,1800
3608-2800-5196-1216,Aug/2018,2198,962,1600
3608-2800-4158-1476,May/2021,5679,256,1700
3608-2968-5459-1593,Mar/2020,3863,692,1800
3608-2067-5791-1537,Mar/2018,4929,321,1000
3608-1782-5015-1744,Feb/2025,6504,032,1300
3608-2800-5988-1597,Sep/2023,3585,386,2000
3608-2800-5632-1705,Oct/2018,6815,086,1200
3608-1395-5766-1745,Apr/2019,7281,522,1100
3608-1395-5038-1623,Jul/2024,5014,631,1400
3608-1782-5333-1428,Oct/2022,5733,627,1400
3608-2588-5394-1163,Jul/2022,4450,508,1500
3608-2596-5030-1009,Jan/2018,7592,224,1100
3608-2800-5458-1968,Jul/2023,3481,207,1200
3608-2751-5132-1014,Nov/2021,7267,087,1700
3608-2968-4329-1745,Jun/2021,3037,030,1500
3608-1333-4523-1693,Jun/2020,4206,307,1000
3608-1721-4329-1838,Dec/2025,7185,736,1500
3608-1395-4951-1407,Feb/2019,7637,502,1200
3608-1682-5988-1128,Jun/2020,2850,608,1600
3608-1192-4160-1916,Apr/2020,7707,562,1400
3608-2507-5394-1668,Nov/2018,4264,279,1300
3608-1782-4158-1931,Apr/2025,2771,042,1300
3608-1782-5884-1215,Feb/2025,6962,172,1000
3608-1782-4318-1121,Sep/2018,4710,825,1500
3608-2800-4523-1274,Aug/2021,7560,254,1800
3608-1721-4354-1629,Apr/2018,2505,134,2000
3608-2596-5983-1351,Jan/2020,2908,872,1900
3608-1682-5489-1163,Sep/2022,6627,902,1800
3608-1192-4523-1892,Dec/2025,7060,470,1800
3608-2800-5459-1476,Nov/2025,2758,631,1300
3608-2968-4856-1583,Apr/2021,2997,428,1200
3608-2507-4994-1646,Dec/2024,5765,719,1100
3608-2596-5884-1140,Jan/2019,5752,136,1100
3608-2588-5394-1980,Aug/2021,7575,381,1900
3608-1782-4994-1476,May/2025,4133,596,1800
3608-1395-5551-1053,Jun/2025,2057,998,1900
3608-2588-4383-1068,Jul/2020,5687,439,1500
3608-2968-5489-1064,Aug/2019,6284,816,2000
3608-2751-5489-1936,Sep/2022,3393,748,2000
3608-2968-5988-1856,Aug/2024,2496,159,2000
3608-1192-4994-1856,Mar/2020,4300,238,1200
3608-2588-4458-1245,Nov/2022,7575,708,1300
3608-1721-4318-1705,Mar/2023,6717,385,2000
3608-2067-5750-1407,Jun/2022,2470,309,1700
3608-2968-4160-1052,Aug/2024,2293,254,1800
3608-2181-4005-1892,Aug/2023,2877,561,1100
3608-2751-5890-1265,Jul/2020,5083,992,1800
3608-2588-4523-1278,Dec/2021,6952,007,1400
3608-1333-4264-1474,Apr/2022,2561,670,1300
3608-1682-5394-1804,Oct/2025,6696,745,1800
3608-2968-5458-1377,Jan/2020,3960,806,1100
3608-2588-5030-1351,Sep/2018,6069,511,2000
3608-2800-4160-1217,Apr/2024,3801,669,1400
3608-2596-4711-1761,Jan/2022,5878,584,1000
3608-1782-4236-1744,Dec/2020,6880,857,2000
3608-2800-5724-1668,Sep/2024,1983,950,1900
3608-2507-5407-1214,Jan/2025,4999,890,1300
3608-1721-5333-1053,Dec/2018,7051,045,2000
3608-1395-5196-1215,Jun/2021,7957,970,1800
3608-1721-5470-1068,Dec/2025,6912,804,1200
3608-2507-4318-1931,Jun/2025,3357,226,1600
3608-2968-5551-1660,Aug/2021,2952,115,1500
3608-2588-5152-1038,Jun/2021,2104,082,1000
3608-2968-5407-1983,Jan/2024,4829,447,2000
3608-1395-4236-1838,Sep/2022,3997,536,1300
3608-2067-5038-1355,Aug/2025,3960,774,1800
3608-2800-4668-1140,Jun/2018,4537,669,1000
3608-1333-4236-1190,May/2025,5383,405,1700
3608-1333-5333-1038,Jan/2025,3756,957,1700
3608-2588-5470-1936,Sep/2019,6162,579,1900
3608-1782-4951-1629,Nov/2025,6263,083,1300
3608-1782-5152-1916,Nov/2021,3037,656,1800
3608-1333-5632-1980,Apr/2021,7258,400,1900
3608-1395-4711-1361,Sep/2019,7927,921,2000
3608-2968-4383-1306,Dec/2021,3099,178,1800
3608-2968-5489-1024,Jul/2022,6407,096,1200
3608-1721-5983-1617,Oct/2018,6124,165,2000
3608-2181-5030-1038,Mar/2023,5501,391,1500
3608-2507-5766-1637,Nov/2025,3033,523,1600
3608-1395-4711-1344,Dec/2025,4494,189,1400
3608-1782-5132-1980,Jan/2020,2426,827,1100
3608-1721-5766-1442,Mar/2024,6841,461,1200
3608-1682-5638-1900,Nov/2019,7989,172,2000
3608-1192-4394-1856,Jul/2020,5679,960,1300
3608-1333-5890-1300,Jul/2021,3883,455,1600
3608-1192-5745-1068,Oct/2018,3435,159,1000
3608-1395-4158-1593,Sep/2018,7580,319,1300
3608-2800-5724-1617,Aug/2021,2796,258,1300
3608-2507-4005-1121,Mar/2019,2647,696,1800
3608-2588-4038-1278,Apr/2020,7314,980,1500
3608-2968-5632-1377,Feb/2018,7261,067,1700
3608-1192-4445-1497,Jun/2018,6616,509,1600
3608-2181-5750-1009,Apr/2018,5952,578,1200
3608-2507-4288-1968,Jul/2021,7594,330,1400
3608-2181-4160-1054,Feb/2019,3974,919,1000
3608-2751-5890-1597,Apr/2020,7210,061,2000
3608-2067-4951-1009,Oct/2022,3128,450,1000
3608-2800-4383-1037,Jun/2018,6998,047,1700
3608-1192-4038-1475,Feb/2024,6198,797,1400
3608-1192-5459-1024,Jun/2018,6465,143,1100
3608-1192-5791-1518,May/2023,2701,829,1400
3608-1395-5394-1216,Jan/2022,6189,923,1500
3608-2507-5791-1745,Feb/2022,5393,298,1000
3608-2596-4160-1518,Aug/2020,6711,272,1400
3608-2067-5750-1837,Jan/2023,5450,785,1400
3608-1333-4329-1245,Aug/2025,6669,185,1900
3608-2507-5983-1804,Feb/2023,4934,626,1500
3608-1782-4951-1255,Aug/2020,4854,533,1300
3608-1721-5333-1915,Mar/2018,3860,052,1000
3608-2596-5634-1109,Jan/2022,4272,691,1900
3608-2751-5470-1804,Nov/2020,3665,062,1300
3608-1782-5038-1220,Dec/2021,6372,397,1400
3608-2067-5634-1613,Jan/2020,3125,523,1600
3608-1721-4264-1300,Jun/2025,5076,853,1000
3608-1782-4458-1660,Nov/2020,4759,962,1700
3608-2507-4288-1381,May/2022,6584,039,1200
3608-2588-4342-1442,Nov/2021,7309,517,1700
3608-1192-5489-1407,Aug/2019,7063,648,1900
3608-2968-5333-1794,Jul/2022,7451,015,1600
